start
3393,40.00,360.438,370.984,458.656,476.516,354.422,416.516,599.094,732.781,38.28,38.49,38.51,81.38,5.24,5.19,5.19,1.14,1234, 76.43%
12795,40.25,358.672,363.203,450.234,474.203,355.984,415.172,595.562,726.375,40.09,39.48,40.77,94.36,4.85,4.99,4.72,0.78,1234, 76.43%
22855,40.50,357.469,364.797,448.703,470.219,359.594,411.047,596.031,724.531,41.48,40.09,39.51,94.89,4.59,4.87,4.98,0.77,1234, 76.42%
32910,40.75,357.266,357.641,447.562,477.938,359.203,414.234,596.312,726.312,40.85,41.10,40.09,94.87,4.71,4.67,4.87,0.77,1234, 76.42%
42975,41.00,356.828,360.625,446.719,470.094,359.984,417.062,595.688,724.250,40.23,41.64,40.45,95.15,4.84,4.56,4.80,0.77,1234, 76.40%
52970,41.25,357.922,368.062,449.203,471.062,361.938,414.719,592.500,727.969,40.54,40.78,40.57,95.45,4.78,4.73,4.77,0.76,1234, 76.40%
63030,41.50,358.344,363.312,450.859,479.766,358.594,412.312,596.250,722.500,41.00,41.16,41.07,95.49,4.69,4.66,4.68,0.76,1234, 76.38%
73038,41.75,359.500,368.719,438.188,479.562,361.328,422.188,597.688,725.656,41.93,41.45,42.31,95.93,4.51,4.61,4.45,0.75,1234, 76.38%
83047,42.00,357.750,358.875,443.875,483.344,359.734,419.453,594.781,721.719,42.51,42.85,41.26,95.42,4.41,4.35,4.64,0.76,1234, 76.36%
93107,42.25,356.516,344.156,446.828,483.984,358.094,418.109,596.812,722.625,41.40,41.66,41.70,95.75,4.61,4.57,4.56,0.76,1234, 76.36%
103113,42.50,360.172,360.609,443.297,474.359,359.172,417.703,598.688,721.125,42.26,42.53,42.23,95.81,4.46,4.41,4.46,0.75,1234, 76.34%
113117,42.75,355.109,363.297,447.703,473.141,360.234,412.078,594.812,721.125,43.22,42.31,42.44,95.92,4.29,4.45,4.43,0.75,1234, 76.34%
123171,43.00,361.688,358.188,445.172,478.703,359.875,417.219,594.844,718.562,43.46,43.75,42.33,96.04,4.24,4.19,4.45,0.75,1234, 76.32%
133229,43.25,354.000,357.516,452.844,472.047,362.938,414.719,595.906,717.812,42.44,44.10,42.68,96.24,4.43,4.13,4.38,0.74,1234, 76.32%
143286,43.50,354.859,363.031,450.172,470.094,360.438,417.281,590.938,719.750,43.41,43.77,43.57,96.08,4.26,4.19,4.23,0.75,1234, 76.31%
153305,43.75,349.812,360.438,442.047,474.734,357.500,414.703,595.281,717.250,43.45,43.50,44.17,96.41,4.26,4.25,4.13,0.74,1234, 76.31%
163306,44.00,356.703,365.172,442.062,477.828,354.688,415.750,589.500,714.281,45.03,45.31,43.64,95.92,3.99,3.95,4.22,0.75,1234, 76.29%
173312,44.25,355.641,353.375,442.031,475.203,353.875,414.484,591.844,717.625,43.91,43.99,43.92,96.29,4.18,4.16,4.18,0.74,1234, 76.27%
183325,44.50,356.781,357.922,447.859,472.828,353.078,417.312,586.688,714.781,44.70,45.03,44.84,96.11,4.04,4.00,4.02,0.75,1234, 76.27%
193346,44.75,353.734,348.625,443.656,469.609,352.906,412.719,587.031,709.031,45.07,44.82,44.61,96.13,3.98,4.03,4.07,0.75,1234, 76.25%
203370,45.00,350.734,352.562,440.797,463.328,352.266,414.234,587.781,711.000,44.84,46.08,44.45,95.63,4.03,3.83,4.09,0.76,1234, 76.25%
213395,45.25,349.203,365.016,435.359,466.312,350.438,403.969,584.688,707.812,45.35,46.55,46.37,95.71,3.95,3.76,3.78,0.75,1234, 76.23%
223406,45.50,349.484,354.422,440.422,461.797,348.062,409.328,581.062,705.219,45.99,45.95,46.03,95.92,3.85,3.86,3.84,0.75,1234, 76.23%
233424,45.75,348.047,353.938,440.391,460.562,344.984,405.031,577.906,706.062,46.22,46.73,46.59,95.67,3.81,3.74,3.76,0.76,1234, 76.22%
243441,46.00,348.938,355.062,438.141,452.391,343.031,399.547,576.188,702.312,46.44,46.95,47.26,96.17,3.78,3.70,3.66,0.74,1234, 76.22%
253462,46.25,340.266,343.641,438.797,454.391,341.125,399.984,571.281,698.312,47.46,45.99,47.22,96.18,3.63,3.85,3.66,0.74,1234, 76.20%
263469,46.50,343.000,344.281,435.688,452.391,336.078,402.906,568.906,691.719,47.02,47.14,47.13,96.11,3.70,3.68,3.68,0.75,1234, 76.20%
273485,46.75,342.484,347.359,435.719,452.594,332.078,392.859,567.688,688.750,46.99,46.45,47.62,96.42,3.70,3.79,3.61,0.74,1234, 76.18%
283495,47.00,337.922,345.469,421.547,448.625,330.656,391.797,560.000,685.969,47.63,47.69,47.72,96.00,3.61,3.60,3.59,0.75,1234, 76.18%
293507,47.25,336.688,341.422,427.875,445.875,323.859,392.234,558.781,680.406,46.80,47.00,47.35,96.22,3.73,3.71,3.66,0.74,1234, 76.16%
303529,47.50,329.938,341.031,425.062,440.453,322.812,383.422,550.469,675.719,47.95,48.10,48.14,96.14,3.57,3.55,3.54,0.75,1234, 76.16%
313585,47.75,332.922,334.875,422.156,435.156,318.625,384.109,548.000,672.531,46.95,48.75,48.50,96.41,3.71,3.46,3.49,0.74,1234, 76.14%
323591,48.00,328.719,337.500,419.391,436.719,318.203,376.219,540.625,668.562,47.51,48.10,48.88,96.28,3.63,3.55,3.44,0.74,1234, 76.12%
333595,48.25,326.375,333.500,418.484,433.484,314.062,376.078,537.500,662.312,48.01,49.32,49.27,95.86,3.56,3.38,3.38,0.75,1234, 76.12%
