start
340987,36.40,7121.00,8805.00,8307.00,6973.00,166.00,7533.00,9047.00,9109.00,36.50,37.12,37.04,76.75,6.16,5.97,5.97,1.39,7.72
350988,36.60,7180.00,8700.00,8289.00,6942.00,172.00,7515.00,9029.00,9041.00,37.41,36.97,36.69,77.48,5.89,5.99,6.10,1.36,7.65
360988,36.80,7107.00,8668.00,8287.00,6945.00,157.00,7473.00,9027.00,9113.00,36.90,37.02,37.63,77.77,6.03,6.00,5.84,1.35,7.65
370992,37.00,7110.00,8616.00,8285.00,6931.00,170.00,7503.00,9033.00,8997.00,36.97,36.97,36.65,78.33,6.00,6.01,6.07,1.32,7.62
380996,37.20,7067.00,8593.00,8238.00,6898.00,103.00,7394.00,8953.00,9001.00,37.56,37.64,37.66,78.57,5.88,5.84,5.86,1.31,7.57
390999,37.40,7101.00,8531.00,8277.00,6881.00,63.00,7390.00,8898.00,8930.00,38.12,38.04,38.27,79.30,5.75,5.76,5.69,1.29,7.52
401000,37.60,7071.00,8482.00,8255.00,6925.00,72.00,7379.00,8913.00,8887.00,37.61,37.71,37.59,79.70,5.85,5.83,5.85,1.27,7.50
410998,37.80,7070.00,8442.00,8263.00,6910.00,151.00,7422.00,8974.00,9011.00,38.31,37.75,37.95,80.05,5.70,5.80,5.76,1.25,7.46
420999,38.00,7047.00,8445.00,8319.00,6915.00,175.00,7448.00,8995.00,8955.00,38.10,38.10,37.95,80.51,5.74,5.74,5.76,1.23,7.41
431003,38.20,7139.00,8429.00,8285.00,6888.00,186.00,7438.00,8949.00,8913.00,38.58,39.00,44.99,80.87,5.59,5.53,4.36,1.21,7.37
441003,38.40,7059.00,8204.00,8250.00,6881.00,113.00,7372.00,8882.00,8843.00,39.03,39.12,38.98,81.34,5.56,5.50,5.54,1.20,7.33
451003,38.60,7020.00,8176.00,8254.00,6919.00,140.00,7429.00,8925.00,8817.00,38.43,38.76,39.31,81.65,5.65,5.59,5.46,1.18,7.31
461004,38.80,7074.00,8217.00,8298.00,6849.00,112.00,7424.00,8926.00,8826.00,39.50,39.08,38.77,81.87,5.42,5.53,5.57,1.17,7.28
471005,39.00,6984.00,8084.00,8205.00,6864.00,103.00,7334.00,8798.00,8755.00,39.03,39.12,39.22,82.51,5.53,5.48,5.51,1.15,7.24
481008,39.20,6993.00,8060.00,8275.00,6892.00,182.00,7377.00,8878.00,8818.00,39.61,39.87,39.84,82.73,5.39,5.35,5.34,1.14,7.21
491006,39.40,7101.00,8039.00,8264.00,6803.00,136.00,7329.00,8796.00,8734.00,39.75,40.19,40.44,83.39,5.38,5.27,5.22,1.13,7.16
501009,39.60,6985.00,7904.00,8201.00,6787.00,84.00,7319.00,8784.00,8706.00,39.94,39.87,39.59,83.56,5.33,5.34,5.40,1.11,7.02
511011,39.80,7000.00,7966.00,8221.00,6911.00,195.00,7385.00,8860.00,8736.00,39.87,39.66,39.36,83.84,5.33,5.39,5.41,1.10,7.02
521010,40.00,7013.00,7944.00,8263.00,6877.00,164.00,7361.00,8801.00,8644.00,39.98,40.15,40.14,84.13,5.28,5.27,7.50,1.09,7.02
